id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
9340,27,39,2318,12,6.0,1.41,12,6.0,0.0,24,12.0,8.49,0.49,0.42,0.26,0.31,3.1,196.02
9458,34,127,30058,12,6.0,4.24,9,4.5,0.71,30,15.0,15.56,0.3,0.48,0.57,0.4,24.28,153.73
9459,22,95,32748,6,3.0,1.41,7,3.5,0.71,20,10.0,9.9,0.58,0.55,0.47,0.44,0.29,153.73
9460,26,262,206048,7,3.5,0.71,7,3.5,0.71,23,11.5,10.61,0.54,0.52,0.62,0.68,17.78,137.71
9466,778,22372,13771128,41,13.67,14.22,32,10.67,11.55,253,84.33,125.54,0.66,0.68,0.54,0.46,3.15,142.55
9467,896,36198,20815999,70,17.5,21.14,37,9.25,9.88,356,89.0,137.82,0.46,0.47,0.6,0.47,21.94,126.02
9468,484,24327,4826134,67,16.75,16.58,75,18.75,19.79,270,67.5,98.32,0.42,0.48,0.44,0.45,10.74,140.72
9469,854,20058,8326724,94,18.8,20.4,158,31.6,49.67,378,75.6,109.12,0.4,0.4,0.62,0.59,50.04,124.28
9470,1000,301759,246304189,110,18.33,23.44,164,27.33,44.63,468,78.0,127.66,0.49,0.41,0.56,0.52,39.33,108.32
9471,842,23865,13527069,95,19.0,22.12,135,27.0,40.63,398,79.6,115.38,0.63,0.62,0.59,0.61,8.01,121.49
9472,1329,68369,48767608,99,19.8,24.94,174,34.8,55.79,415,83.0,124.55,0.38,0.38,0.62,0.58,32.43,120.54
9473,996,20461,8538326,88,14.67,17.14,151,25.17,42.72,337,56.17,79.2,0.48,0.41,0.64,0.68,22.85,144.81
9474,674,47710,34344662,86,21.5,19.21,158,39.5,53.16,308,77.0,79.44,0.58,0.57,0.53,0.54,10.18,127.18
9475,654,34908,23353670,88,17.6,17.33,159,31.8,43.35,356,71.2,88.19,0.71,0.67,0.5,0.5,13.15,135.86
9476,554,45389,32666702,80,16.0,14.92,163,32.6,49.9,295,59.0,65.68,0.64,0.62,0.48,0.54,22.06,145.62
9477,620,264599,184222072,74,18.5,16.34,142,35.5,52.79,304,76.0,76.35,0.28,0.27,0.62,0.62,16.09,152.7
9478,868,124895,86728567,83,20.75,19.62,158,39.5,58.46,372,93.0,105.0,0.52,0.52,0.44,0.45,46.18,119.21
9479,792,29647,24165920,156,39.0,56.02,203,50.75,53.5,446,111.5,151.19,0.54,0.52,0.59,0.62,41.2,105.04
9480,639,111247,80968187,107,26.75,26.4,182,45.5,54.68,341,85.25,89.6,0.3,0.27,0.39,0.37,53.41,107.66
9481,529,109462,82175632,101,20.2,18.94,175,35.0,45.29,307,61.4,72.21,0.45,0.43,0.46,0.56,20.83,132.82
9482,492,25258,12805585,88,17.6,19.15,199,39.8,55.24,297,59.4,66.94,0.43,0.42,0.58,0.66,23.95,128.82
9483,844,106408,82757478,73,14.6,13.22,152,30.4,47.32,285,57.0,67.52,0.65,0.63,0.51,0.5,7.11,135.15
9484,969,137202,102219548,80,16.0,15.62,137,27.4,38.71,294,58.8,75.0,0.59,0.6,0.54,0.62,63.73,106.28
9485,717,156030,109779975,81,16.2,15.83,152,30.4,47.44,240,48.0,55.96,0.57,0.58,0.5,0.55,50.02,102.15
9486,427,183321,18088129,76,12.67,13.89,113,18.83,28.58,224,37.33,49.26,0.38,0.4,0.66,0.78,40.23,139.87
9487,444,8377,3186780,69,11.5,12.72,128,21.33,33.03,245,40.83,52.52,0.66,0.66,0.54,0.73,20.62,134.75
9488,470,79853,44954777,78,13.0,12.17,147,24.5,35.68,253,42.17,57.46,0.7,0.7,0.45,0.49,42.1,113.7
9489,498,23159,14581579,75,12.5,13.63,152,25.33,41.63,251,41.83,58.24,0.64,0.66,0.5,0.63,46.9,123.14
9490,625,11193,4659722,86,17.2,18.13,152,30.4,47.01,287,57.4,71.3,0.61,0.61,0.51,0.68,22.08,122.64
