id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,28,309,84139,15,7.5,4.95,15,7.5,2.12,26,13.0,9.9,1.0,1.0,0.44,0.42,21.18,185.63
1,22,269,55963,15,7.5,4.95,12,6.0,1.41,20,10.0,7.07,0.93,0.92,0.23,0.23,36.89,118.32
2,18,381,127037,13,6.5,3.54,8,4.0,0.0,17,8.5,6.36,1.0,1.0,0.36,0.32,55.62,166.0
4,36,860,328420,17,8.5,10.61,11,5.5,6.36,31,15.5,20.51,0.41,0.42,0.44,0.38,47.74,127.87
5,35,448,88333,18,9.0,7.07,13,6.5,2.12,29,14.5,13.44,0.84,0.74,0.34,0.32,41.4,163.55
6,25,421,158474,13,6.5,6.36,9,4.5,3.54,24,12.0,14.14,0.97,0.9,0.48,0.42,32.77,194.08
7,39,1801,350706,22,11.0,5.66,20,10.0,4.24,36,18.0,14.14,0.6,0.6,0.24,0.28,47.14,174.66
8,29,508,176249,19,9.5,6.36,16,8.0,4.24,27,13.5,12.02,0.78,0.88,0.45,0.38,40.09,176.63
9,23,317,94902,16,8.0,4.24,14,7.0,1.41,22,11.0,7.07,0.75,0.64,0.42,0.39,20.18,133.7
10,34,1271,215796,21,10.5,4.95,21,10.5,4.95,31,15.5,12.02,0.59,0.63,0.22,0.21,38.8,172.74
11,25,1490,500405,16,8.0,8.49,13,6.5,6.36,24,12.0,14.14,0.62,0.66,0.68,0.69,21.28,132.12
12,27,296,135523,17,8.5,2.12,12,6.0,0.0,24,12.0,7.07,0.78,0.75,0.45,0.5,23.76,164.12
13,20,222,85599,14,7.0,4.24,11,5.5,2.12,18,9.0,7.07,0.62,0.46,0.45,0.4,20.54,177.28
14,27,2610,603738,16,8.0,8.49,10,5.0,4.24,23,11.5,13.44,0.58,0.6,0.38,0.45,37.82,174.69
15,24,397,130774,16,8.0,1.41,13,6.5,3.54,23,11.5,3.54,0.89,0.83,0.5,0.47,53.21,180.91
16,26,348,97769,21,10.5,4.95,15,7.5,0.71,25,12.5,7.78,1.0,1.0,0.37,0.3,27.6,150.41
17,13,175,53916,9,4.5,2.12,7,3.5,0.71,12,6.0,4.24,1.0,1.0,0.7,0.82,35.2,185.85
18,20,1111,1002095,11,5.5,4.95,7,3.5,2.12,19,9.5,10.61,0.97,0.98,0.32,0.21,38.71,181.36
19,30,1579,414178,16,8.0,2.83,15,7.5,0.71,27,13.5,10.61,0.62,0.75,0.24,0.33,42.18,165.54
20,22,383,113140,13,6.5,4.95,9,4.5,2.12,19,9.5,9.19,0.95,0.93,0.37,0.38,41.96,182.39
21,22,155,43381,13,6.5,3.54,11,5.5,0.71,20,10.0,7.07,0.87,0.62,0.46,0.28,16.65,163.9
22,30,439,134601,19,9.5,4.95,12,6.0,0.0,27,13.5,10.61,1.0,1.0,0.51,0.5,37.4,166.0
23,28,474,135108,12,6.0,4.24,8,4.0,1.41,25,12.5,13.44,0.98,0.94,0.51,0.46,25.46,144.02
24,35,805,173965,16,8.0,7.07,7,3.5,0.71,29,14.5,16.26,0.93,0.9,0.34,0.34,23.2,127.94
25,38,2635,510143,18,9.0,5.66,14,7.0,2.83,28,14.0,12.73,0.65,0.62,0.26,0.22,46.9,165.72
26,31,839,325026,15,7.5,7.78,9,4.5,3.54,27,13.5,16.26,0.98,0.97,0.57,0.62,41.44,174.78
27,55,7873,785852,24,12.0,9.9,13,6.5,2.12,49,24.5,20.51,0.63,0.56,0.78,0.7,41.4,139.88
28,44,38590,13466376,16,8.0,8.49,5,2.5,0.71,35,17.5,21.92,0.6,0.56,0.44,0.46,48.54,173.08
29,56,4492,2697969,21,10.5,9.19,8,4.0,0.0,50,25.0,29.7,0.74,0.9,0.22,0.18,26.34,177.96
30,44,19803,13379438,19,9.5,7.78,11,5.5,3.54,40,20.0,22.63,0.68,0.62,0.54,0.28,18.94,123.91
31,62,2046,732144,25,12.5,12.02,11,5.5,2.12,55,27.5,33.23,1.0,1.0,0.47,0.32,17.42,151.88
32,84,17404,14120450,24,12.0,15.56,10,5.0,5.66,67,33.5,45.96,1.0,1.0,0.34,0.2,30.84,175.8
33,95,10282,2097300,26,13.0,15.56,11,5.5,4.95,76,38.0,50.91,0.98,0.98,0.52,0.38,21.37,175.84
34,123,6386,4583683,24,12.0,14.14,14,7.0,5.66,94,47.0,62.23,1.0,1.0,0.52,0.38,21.49,182.58
35,103,57339,20434637,27,13.5,16.26,10,5.0,4.24,86,43.0,57.98,1.0,1.0,0.45,0.3,15.15,177.35
36,96,11464,7432547,31,15.5,17.68,12,6.0,4.24,78,39.0,50.91,1.0,1.0,0.48,0.35,25.38,174.3
37,63,1202,342050,26,13.0,16.97,13,6.5,7.78,44,22.0,29.7,1.0,1.0,0.74,0.7,20.86,168.3
38,90,57387,7278122,27,13.5,12.02,12,6.0,2.83,70,35.0,39.6,0.77,0.68,0.66,0.47,22.67,144.82
39,102,9898,9291705,27,13.5,13.44,12,6.0,2.83,77,38.5,48.79,0.68,0.61,0.32,0.27,17.32,125.18
40,94,3228,2184249,27,13.5,17.68,8,4.0,4.24,76,38.0,52.33,0.95,0.97,0.64,0.55,13.11,176.34
42,82,8646,5602194,21,10.5,10.61,8,4.0,1.41,63,31.5,40.31,0.74,0.76,0.2,0.18,31.06,142.06
43,125,44349,5341419,27,13.5,17.68,11,5.5,6.36,98,49.0,67.88,0.96,0.97,0.73,0.68,24.84,172.42
44,80,7733,1197183,20,10.0,11.31,11,5.5,4.95,66,33.0,43.84,1.0,0.98,0.56,0.45,21.44,132.88
45,47,9979,977752,21,10.5,6.36,12,6.0,0.0,41,20.5,20.51,0.98,0.97,0.65,0.6,55.21,139.45
46,54,795,243331,22,11.0,9.9,11,5.5,0.71,42,21.0,21.21,0.81,0.72,0.41,0.36,32.66,162.44
47,42,967,253909,22,11.0,9.9,10,5.0,2.83,37,18.5,20.51,0.84,0.74,0.41,0.44,37.34,91.56
48,54,6919,4444034,26,13.0,11.31,12,6.0,1.41,52,26.0,29.7,1.0,1.0,0.36,0.3,34.8,153.0
49,60,5653,4110985,29,14.5,16.26,15,7.5,6.36,52,26.0,32.53,0.88,0.88,0.2,0.15,22.98,143.5
50,69,14446,11396057,20,10.0,12.73,5,2.5,2.12,56,28.0,38.18,1.0,1.0,0.24,0.18,35.33,171.85
52,104,11461,7652137,21,10.5,10.61,11,5.5,3.54,67,33.5,43.13,0.98,0.98,0.47,0.58,23.41,145.8
53,101,11115,3036299,29,14.5,17.68,10,5.0,1.41,74,37.0,46.67,0.97,0.92,0.29,0.18,21.7,118.07
54,89,19754,4377129,24,12.0,11.31,15,7.5,2.12,66,33.0,38.18,0.98,0.97,0.38,0.2,25.08,166.53
55,61,28935,5343891,24,12.0,12.73,10,5.0,2.83,54,27.0,33.94,0.86,0.76,0.57,0.4,21.9,105.9
56,89,5502,2559059,23,11.5,10.61,9,4.5,0.71,74,37.0,46.67,0.7,0.78,0.32,0.24,25.74,130.17
57,71,58846,49157052,22,11.0,11.31,17,8.5,6.36,54,27.0,31.11,0.75,0.73,0.21,0.13,35.24,137.28
59,65,151430,130511761,22,11.0,12.73,16,8.0,8.49,55,27.5,36.06,0.5,0.5,0.34,0.32,35.61,175.5
60,60,1807,985408,24,12.0,12.73,9,4.5,2.12,55,27.5,34.65,0.82,0.88,0.36,0.2,28.41,138.28
61,78,14268,3704630,30,15.0,18.38,12,6.0,5.66,70,35.0,46.67,1.0,1.0,0.56,0.41,24.12,128.0
62,57,2435,1263916,25,12.5,12.02,14,7.0,4.24,52,26.0,31.11,0.77,0.82,0.42,0.24,25.1,118.66
63,58,1250,338284,25,12.5,10.61,11,5.5,0.71,50,25.0,28.28,0.86,0.9,0.38,0.34,30.77,140.4
65,82,2744,1177840,30,15.0,16.97,15,7.5,4.95,71,35.5,44.55,0.98,0.97,0.4,0.42,26.9,168.42
66,77,3711,799885,29,14.5,14.85,12,6.0,2.83,66,33.0,41.01,0.82,0.76,0.56,0.4,27.69,139.15
67,104,13388,3780716,25,12.5,13.44,15,7.5,4.95,83,41.5,53.03,0.88,0.9,0.68,0.68,22.15,166.08
68,61,17946,2441462,23,11.5,13.44,9,4.5,3.54,49,24.5,31.82,0.94,0.96,0.78,0.68,47.56,128.24
69,61,7716,870289,24,12.0,8.49,11,5.5,0.71,55,27.5,30.41,1.0,1.0,0.61,0.5,40.6,133.43
70,65,2328,749816,22,11.0,11.31,11,5.5,3.54,49,24.5,30.41,0.7,0.62,0.66,0.64,36.06,146.65
71,76,8345,896066,24,12.0,11.31,12,6.0,2.83,57,28.5,28.99,0.66,0.59,0.52,0.48,48.95,105.97
