id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,37,85,9120,24,6.0,1.63,28,7.0,2.94,28,7.0,3.46,0.94,0.9,0.39,0.31,3.85,175.42
1,23,101,13249,19,6.33,2.08,20,6.67,2.52,22,7.33,2.89,0.98,0.99,0.44,0.45,9.11,141.74
2,32,114,12730,26,6.5,1.0,27,6.75,1.26,29,7.25,2.06,0.96,0.86,0.48,0.57,0.64,148.66
3,28,210,67259,21,7.0,3.61,19,6.33,2.52,26,8.67,4.51,0.96,0.97,0.42,0.35,0.5,150.79
4,34,238,64968,22,7.33,3.21,25,8.33,3.21,30,10.0,6.08,0.97,0.96,0.4,0.32,10.63,115.15
5,39,341,55277,28,7.0,4.24,29,7.25,4.72,34,8.5,7.14,0.95,0.94,0.42,0.4,18.45,153.66
6,41,146,52945,29,7.25,3.2,27,6.75,1.5,37,9.25,5.97,0.94,0.97,0.46,0.51,0.91,157.71
7,27,2806,789435,20,6.67,3.06,18,6.0,1.73,22,7.33,3.51,0.96,0.95,0.38,0.36,17.4,169.55
8,38,392,66250,28,7.0,3.56,27,6.75,2.5,31,7.75,4.35,0.88,0.72,0.65,0.65,13.83,166.89
9,32,71,7504,25,6.25,2.87,25,6.25,2.36,29,7.25,3.77,0.89,0.84,0.46,0.48,0.03,166.23
10,29,87,13466,23,5.75,3.3,24,6.0,3.65,28,7.0,4.76,0.9,0.9,0.44,0.4,10.19,169.32
11,114,12979,7394925,52,13.0,11.05,37,9.25,3.86,76,19.0,20.99,0.94,0.94,0.47,0.32,4.13,168.97
12,405,14551,7138795,75,18.75,24.2,29,7.25,1.71,249,62.25,110.51,0.92,0.9,0.34,0.23,2.4,150.14
13,291,14006,8040112,43,10.75,10.97,25,6.25,2.36,131,32.75,54.21,0.86,0.84,0.39,0.31,3.21,152.94
14,295,4622,1527967,61,15.25,21.17,25,6.25,3.2,180,45.0,80.67,0.99,1.0,0.32,0.25,4.15,154.51
15,378,44316,27239055,59,19.67,25.42,19,6.33,2.52,220,73.33,118.36,1.0,1.0,0.37,0.22,1.93,151.19
16,261,13621,7705913,52,13.0,16.02,26,6.5,1.29,146,36.5,61.01,0.93,0.93,0.38,0.32,2.63,165.72
17,230,8432,4213041,52,17.33,17.93,18,6.0,1.0,149,49.67,71.35,0.99,1.0,0.48,0.34,5.75,124.7
18,207,35418,22231958,43,10.75,13.96,18,4.5,3.7,142,35.5,59.34,1.0,1.0,0.64,0.5,4.58,175.82
19,264,92008,58753705,52,17.33,16.92,26,8.67,5.13,148,49.33,51.01,0.99,1.0,0.52,0.21,5.6,129.29
20,325,41359,29044123,74,18.5,18.06,30,7.5,3.11,208,52.0,74.67,0.98,0.98,0.36,0.18,5.6,160.74
21,473,72858,47958810,66,16.5,19.4,21,5.25,3.3,258,64.5,96.64,1.0,1.0,0.56,0.37,5.1,168.71
22,866,110086,82320083,100,25.0,30.93,27,6.75,5.06,393,98.25,136.49,1.0,1.0,0.44,0.25,5.23,116.83
23,1404,129206,56063982,113,28.25,30.74,27,6.75,2.36,584,146.0,176.42,0.93,0.86,0.53,0.3,6.92,124.53
24,1362,121342,52519198,102,25.5,31.68,18,4.5,3.0,552,138.0,178.14,1.0,1.0,0.75,0.5,7.6,151.8
