id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,441,5780,3111386,62,6.89,6.57,52,5.78,3.23,197,21.89,29.39,0.79,0.8,0.51,0.55,3.59,200.02
1,507,6330,3117610,62,7.75,5.85,51,6.38,3.74,201,25.12,27.05,0.76,0.76,0.42,0.41,4.07,187.18
2,410,3851,1438140,58,8.29,6.68,45,6.43,3.64,176,25.14,27.02,0.75,0.77,0.5,0.6,9.24,156.63
3,494,8188,3726664,60,8.57,6.55,46,6.57,2.99,217,31.0,38.03,0.77,0.78,0.49,0.45,3.24,212.64
4,554,18521,2964529,73,9.12,5.94,59,7.38,2.2,265,33.12,40.81,0.78,0.71,0.51,0.46,6.54,180.68
5,576,5030,1913272,78,8.67,6.63,61,6.78,2.86,252,28.0,37.91,0.79,0.78,0.51,0.5,1.97,198.69
6,511,4944,1736161,75,6.82,4.98,62,5.64,2.29,241,21.91,35.68,0.81,0.81,0.38,0.4,2.82,188.74
7,556,4326,1781654,79,8.78,6.8,68,7.56,3.91,261,29.0,41.97,0.79,0.8,0.44,0.43,3.14,192.11
8,557,6108,2822444,84,9.33,5.96,76,8.44,2.3,258,28.67,38.33,0.82,0.81,0.41,0.43,4.27,187.61
9,586,6885,3022085,74,8.22,5.24,62,6.89,2.42,241,26.78,37.8,0.84,0.87,0.49,0.5,2.91,193.09
10,668,14801,3640561,75,7.5,6.35,64,6.4,4.33,276,27.6,42.19,0.8,0.77,0.48,0.49,4.46,155.76
11,711,97886,84528155,95,8.64,6.95,80,7.27,3.2,281,25.55,37.99,0.85,0.85,0.37,0.36,3.82,171.93
12,849,14314,10260303,105,9.55,7.17,92,8.36,3.67,324,29.45,45.83,0.77,0.65,0.44,0.41,4.22,172.74
13,791,35149,31052445,79,8.78,7.17,70,7.78,3.96,299,33.22,44.7,0.72,0.66,0.43,0.41,2.91,174.57
14,694,22277,17583554,83,9.22,7.71,70,7.78,2.05,308,34.22,49.29,0.79,0.72,0.39,0.39,4.58,178.6
15,916,31507,24548809,80,8.0,8.11,75,7.5,6.84,296,29.6,53.32,0.82,0.83,0.4,0.45,2.83,165.96
16,751,30925,25791181,79,8.78,8.44,73,8.11,7.49,322,35.78,57.92,0.91,0.92,0.5,0.52,4.83,189.11
17,1008,45470,44531633,81,8.1,9.11,73,7.3,6.8,347,34.7,60.74,0.81,0.81,0.56,0.53,4.65,181.09
18,1171,41834,34482787,125,12.5,13.32,95,9.5,7.11,465,46.5,75.65,0.8,0.76,0.42,0.42,4.75,180.0
19,1411,34647,26506800,109,10.9,13.59,68,6.8,4.94,521,52.1,92.93,0.74,0.73,0.44,0.47,3.85,172.79
20,1610,63840,49197311,116,11.6,12.35,103,10.3,9.46,537,53.7,94.38,0.77,0.76,0.37,0.41,3.9,184.09
21,1789,100088,86932883,125,11.36,15.09,93,8.45,6.49,620,56.36,108.84,0.86,0.86,0.43,0.43,4.05,180.23
22,2215,113439,95303582,145,14.5,20.16,109,10.9,10.22,737,73.7,136.03,0.87,0.88,0.42,0.46,4.66,173.78
23,2335,259667,214703606,109,12.11,16.99,70,7.78,7.24,869,96.56,183.21,0.75,0.75,0.44,0.43,5.14,158.89
24,2267,206673,198311740,110,13.75,19.26,66,8.25,8.03,759,94.88,166.85,0.83,0.83,0.46,0.43,5.09,161.95
25,1454,67271,48621837,115,11.5,15.74,87,8.7,7.56,594,59.4,108.06,0.8,0.8,0.44,0.42,6.87,181.83
26,1670,67269,50819037,111,13.88,17.59,83,10.38,10.68,578,72.25,120.01,0.77,0.77,0.36,0.35,3.89,158.55
